Datetime,XGBModel_4 Hours Ahead (kW),XGBModel_8 Hours Ahead (kW),NBEATSModel_4 Hours Ahead (kW),NBEATSModel_8 Hours Ahead (kW),Actual load (kW)
2019-08-15 23:00:00,3.826321840286255,3.9855620861053467,3.880540085676622,3.914391388085537,4.031479133860272
2019-08-16 00:00:00,3.0213029384613037,3.1266605854034424,2.928103679484667,3.1108901776731073,3.725151641401081
2019-08-16 01:00:00,2.194579601287842,2.194579601287842,2.067965236324022,2.067965236324022,1.9257548599989147
2019-08-16 02:00:00,1.3404552936553955,1.3404552936553955,1.318890045783172,1.318890045783172,0.33607627926974837
2019-08-16 03:00:00,0.4696243107318878,0.4696243107318878,0.6430375911505619,0.6430375911505619,0.2938436136144016
2019-08-16 04:00:00,0.2104138731956482,0.2104138731956482,0.31216214846466195,0.31216214846466195,0.24746761156760427
2019-08-16 05:00:00,0.03497142717242241,0.06448318064212799,0.011750434421646954,0.04275498834700643,0.031736332946778315
2019-08-16 06:00:00,0.05997088924050331,0.06779949367046356,0.033692317534016324,0.050896290367954046,9.99999999999901e-07
2019-08-16 07:00:00,0.5738009214401245,0.40577539801597595,0.3806232770811117,0.4254644782459446,1.4588513881581642
2019-08-16 08:00:00,1.6846163272857666,1.5952329635620117,1.6280885173698123,1.1870143700555862,1.3905408013559977
2019-08-16 09:00:00,1.7763162851333618,1.7763162851333618,1.5237684342641582,1.5237684342641582,0.9622226121482862
2019-08-16 10:00:00,1.963316559791565,1.963316559791565,2.1197082148339526,2.1197082148339526,2.1501002198329533
2019-08-16 11:00:00,2.3318750858306885,2.3318750858306885,2.0983060428824447,2.0983060428824447,2.746150751252066
2019-08-16 12:00:00,2.6783595085144043,2.6783595085144043,2.7402482369338634,2.7402482369338634,2.484396865357718
2019-08-16 13:00:00,2.9200923442840576,3.1590397357940674,2.385742725578413,2.516588441249878,2.6901461341968105
2019-08-16 14:00:00,3.0734872817993164,2.995309829711914,3.3564096753919483,3.0745185209420285,5.531796524366167
2019-08-16 15:00:00,3.122687578201294,3.270697832107544,3.2570825571413535,3.5883342092857737,6.253693678178152
2019-08-16 16:00:00,3.0045735836029053,3.2613885402679443,3.0380910993266776,3.493467897311917,4.402734743521377
2019-08-16 17:00:00,3.531161308288574,3.531161308288574,3.0177881702810065,3.0177881702810065,5.880525313038724
2019-08-16 18:00:00,3.429561138153076,3.429561138153076,3.3853526663315803,3.3853526663315803,5.228859083451589
2019-08-16 19:00:00,4.2149224281311035,4.2149224281311035,4.190067349425462,4.190067349425462,4.7188036465861
2019-08-16 20:00:00,4.378495216369629,4.378495216369629,4.691930178756765,4.691930178756765,5.286418549866573
2019-08-16 21:00:00,4.558715343475342,4.635388374328613,4.513214735951983,4.475624604188796,5.531185446601867
2019-08-16 22:00:00,4.7345075607299805,4.927160739898682,4.876943428114411,4.80903411318898,6.587067825243636
2019-08-16 23:00:00,4.038717269897461,4.01638650894165,3.804168540387256,3.6257414150669365,4.740452720324622
2019-08-17 00:00:00,3.176847219467163,3.147444248199463,3.0102866657831804,2.9422834272138787,2.069226109812419
2019-08-17 01:00:00,1.3736810684204102,1.3736810684204102,1.2563625024609963,1.2563625024609963,1.275199641599021
2019-08-17 02:00:00,0.8672568798065186,0.8672568798065186,1.0103318675426425,1.0103318675426425,0.4881666684260907
2019-08-17 03:00:00,0.233340784907341,0.233340784907341,0.33197017833938136,0.33197017833938136,0.6225225577146744
2019-08-17 04:00:00,0.13724900782108307,0.13724900782108307,0.1453010207028433,0.1453010207028433,0.18231313816748826
2019-08-17 05:00:00,0.014068175107240677,0.11031226813793182,0.009303573860282372,0.028285107726311622,0.24245516462368513
2019-08-17 06:00:00,0.05225479230284691,0.09724730253219604,0.06858410710047112,0.08750200988879026,9.99999999999901e-07
2019-08-17 07:00:00,0.880871057510376,1.1775721311569214,0.7557364909371992,0.8890789335003065,0.15551102786636453
